+-----------------------+----------------------------------------------------+
| Parameter             | Value                                              |
+-----------------------+----------------------------------------------------+
| train data pattern    | dev/data/tinyshakespeare/tiny_shakespeare_train.bin |
| val data pattern      | dev/data/tinyshakespeare/tiny_shakespeare_val.bin  |
| output log file       | NULL                                               |
| batch size B          | 4                                                  |
| sequence length T     | 1024                                               |
| learning rate         | 0.000300                                           |
| val_loss_every        | 1000                                               |
| val_max_steps         | 20                                                 |
| sample_every          | 1000                                               |
| genT                  | 1                                                  |
+-----------------------+----------------------------------------------------+
| device                | NVIDIA GeForce RTX 4090                            |
| TF32                  | enabled                                            |
+-----------------------+----------------------------------------------------+
| max_sequence_length T | 1024                                               |
| vocab_size V          | 50257                                              |
| padded_vocab_size Vp  | 50304                                              |
| num_layers L          | 12                                                 |
| num_heads NH          | 12                                                 |
| channels C            | 768                                                |
| num_parameters        | 124475904                                          |
+-----------------------+----------------------------------------------------+
| train_num_batches     | 74                                                 |
| val_num_batches       | 8                                                  |
+-----------------------+----------------------------------------------------+
allocated 474 MiB for model parameters
allocated 5706 MiB for activations
val loss 4.513886
allocated 474 MiB for parameter gradients
allocated 252 MiB for activation gradients
allocated 474 MiB for AdamW optimizer state m
allocated 474 MiB for AdamW optimizer state v
step    1/74: train loss 4.287312 (97.231524 ms, 42126 tok/s)
step    2/74: train loss 4.727052 (95.549580 ms, 42867 tok/s)
step    3/74: train loss 4.392602 (95.576141 ms, 42855 tok/s)
step    4/74: train loss 3.628408 (95.558582 ms, 42863 tok/s)
step    5/74: train loss 3.717025 (95.556772 ms, 42864 tok/s)
step    6/74: train loss 4.013115 (95.556082 ms, 42864 tok/s)
step    7/74: train loss 4.111224 (95.583043 ms, 42852 tok/s)
step    8/74: train loss 3.623539 (95.578163 ms, 42854 tok/s)
step    9/74: train loss 3.965239 (95.562262 ms, 42862 tok/s)
step   10/74: train loss 3.581269 (95.582613 ms, 42852 tok/s)
step   11/74: train loss 4.028396 (95.586312 ms, 42851 tok/s)
step   12/74: train loss 3.813575 (95.604784 ms, 42843 tok/s)
step   13/74: train loss 4.029217 (95.597033 ms, 42846 tok/s)
step   14/74: train loss 3.885105 (95.605863 ms, 42842 tok/s)
step   15/74: train loss 3.711819 (95.594523 ms, 42847 tok/s)
step   16/74: train loss 3.553729 (95.599134 ms, 42845 tok/s)
step   17/74: train loss 3.987246 (95.590234 ms, 42849 tok/s)
step   18/74: train loss 3.809050 (95.608645 ms, 42841 tok/s)
step   19/74: train loss 3.533821 (95.614015 ms, 42838 tok/s)
step   20/74: train loss 3.678087 (95.589373 ms, 42849 tok/s)
step   21/74: train loss 3.608701 (95.590614 ms, 42849 tok/s)
step   22/74: train loss 3.612062 (95.617745 ms, 42837 tok/s)
step   23/74: train loss 3.147439 (95.631404 ms, 42831 tok/s)
step   24/74: train loss 3.344284 (95.595844 ms, 42847 tok/s)
step   25/74: train loss 3.706443 (95.602244 ms, 42844 tok/s)
step   26/74: train loss 3.539921 (95.593745 ms, 42847 tok/s)
step   27/74: train loss 3.844043 (95.597345 ms, 42846 tok/s)
step   28/74: train loss 3.445968 (95.604445 ms, 42843 tok/s)
step   29/74: train loss 3.317774 (95.582535 ms, 42853 tok/s)
step   30/74: train loss 3.279726 (95.614365 ms, 42838 tok/s)
step   31/74: train loss 3.154457 (95.618585 ms, 42836 tok/s)
step   32/74: train loss 3.444700 (95.618456 ms, 42836 tok/s)
step   33/74: train loss 3.566253 (95.595134 ms, 42847 tok/s)
step   34/74: train loss 3.485345 (95.608645 ms, 42841 tok/s)
step   35/74: train loss 3.722285 (95.627497 ms, 42832 tok/s)
step   36/74: train loss 3.379459 (95.612687 ms, 42839 tok/s)
step   37/74: train loss 3.199996 (95.621986 ms, 42835 tok/s)
step   38/74: train loss 3.181468 (95.593866 ms, 42847 tok/s)
step   39/74: train loss 3.600972 (95.597066 ms, 42846 tok/s)
step   40/74: train loss 3.083178 (95.612307 ms, 42839 tok/s)
step   41/74: train loss 3.829618 (95.597446 ms, 42846 tok/s)
