+-----------------------+----------------------------------------------------+
| Parameter             | Value                                              |
+-----------------------+----------------------------------------------------+
| train data pattern    | dev/data/tinyshakespeare/tiny_shakespeare_train.bin |
| val data pattern      | dev/data/tinyshakespeare/tiny_shakespeare_val.bin  |
| output log file       | NULL                                               |
| batch size B          | 4                                                  |
| sequence length T     | 1024                                               |
| learning rate         | 0.000300                                           |
| val_loss_every        | 1000                                               |
| val_max_steps         | 20                                                 |
| sample_every          | 1000                                               |
| genT                  | 1                                                  |
+-----------------------+----------------------------------------------------+
| device                | NVIDIA GeForce RTX 4090                            |
| TF32                  | enabled                                            |
+-----------------------+----------------------------------------------------+
| max_sequence_length T | 1024                                               |
| vocab_size V          | 50257                                              |
| padded_vocab_size Vp  | 50304                                              |
| num_layers L          | 12                                                 |
| num_heads NH          | 12                                                 |
| channels C            | 768                                                |
| num_parameters        | 124475904                                          |
+-----------------------+----------------------------------------------------+
| train_num_batches     | 74                                                 |
| val_num_batches       | 8                                                  |
+-----------------------+----------------------------------------------------+
allocated 474 MiB for model parameters
allocated 5706 MiB for activations
val loss 4.513806
allocated 474 MiB for parameter gradients
allocated 252 MiB for activation gradients
allocated 474 MiB for AdamW optimizer state m
allocated 474 MiB for AdamW optimizer state v
step    1/74: train loss 4.287300 (85.615459 ms, 47841 tok/s)
step    2/74: train loss 4.721509 (84.140810 ms, 48680 tok/s)
step    3/74: train loss 4.390296 (84.125937 ms, 48688 tok/s)
step    4/74: train loss 3.627795 (84.133398 ms, 48684 tok/s)
step    5/74: train loss 3.717272 (84.110278 ms, 48697 tok/s)
step    6/74: train loss 4.013799 (84.130137 ms, 48686 tok/s)
step    7/74: train loss 4.110823 (84.120289 ms, 48692 tok/s)
step    8/74: train loss 3.623373 (84.134439 ms, 48683 tok/s)
step    9/74: train loss 3.965389 (84.123278 ms, 48690 tok/s)
step   10/74: train loss 3.581412 (84.123238 ms, 48690 tok/s)
step   11/74: train loss 4.028799 (84.113839 ms, 48695 tok/s)
step   12/74: train loss 3.813124 (84.136168 ms, 48682 tok/s)
step   13/74: train loss 4.029192 (84.133648 ms, 48684 tok/s)
step   14/74: train loss 3.884960 (84.117789 ms, 48693 tok/s)
step   15/74: train loss 3.711825 (84.098238 ms, 48704 tok/s)
step   16/74: train loss 3.553230 (84.113747 ms, 48695 tok/s)
step   17/74: train loss 3.987470 (84.119028 ms, 48692 tok/s)
step   18/74: train loss 3.809042 (84.133539 ms, 48684 tok/s)
step   19/74: train loss 3.534378 (84.120778 ms, 48691 tok/s)
step   20/74: train loss 3.677818 (84.135569 ms, 48683 tok/s)
