+-----------------------+----------------------------------------------------+
| Parameter             | Value                                              |
+-----------------------+----------------------------------------------------+
| train data pattern    | dev/data/tinyshakespeare/tiny_shakespeare_train.bin |
| val data pattern      | dev/data/tinyshakespeare/tiny_shakespeare_val.bin  |
| output log file       | NULL                                               |
| batch size B          | 4                                                  |
| sequence length T     | 1024                                               |
| learning rate         | 0.000300                                           |
| val_loss_every        | 1000                                               |
| val_max_steps         | 20                                                 |
| sample_every          | 1000                                               |
| genT                  | 1                                                  |
+-----------------------+----------------------------------------------------+
| device                | NVIDIA GeForce RTX 4090                            |
| TF32                  | enabled                                            |
+-----------------------+----------------------------------------------------+
| max_sequence_length T | 1024                                               |
| vocab_size V          | 50257                                              |
| padded_vocab_size Vp  | 50304                                              |
| num_layers L          | 12                                                 |
| num_heads NH          | 12                                                 |
| channels C            | 768                                                |
| num_parameters        | 124475904                                          |
+-----------------------+----------------------------------------------------+
| train_num_batches     | 74                                                 |
| val_num_batches       | 8                                                  |
+-----------------------+----------------------------------------------------+
allocated 474 MiB for model parameters
allocated 5706 MiB for activations
val loss 4.513806
allocated 474 MiB for parameter gradients
allocated 252 MiB for activation gradients
allocated 474 MiB for AdamW optimizer state m
allocated 474 MiB for AdamW optimizer state v
step    1/74: train loss 4.287300 (85.847081 ms, 47712 tok/s)
step    2/74: train loss 4.721549 (84.139091 ms, 48681 tok/s)
step    3/74: train loss 4.390292 (84.150233 ms, 48674 tok/s)
step    4/74: train loss 3.627832 (84.132102 ms, 48685 tok/s)
step    5/74: train loss 3.717297 (84.138561 ms, 48681 tok/s)
step    6/74: train loss 4.013832 (84.115252 ms, 48695 tok/s)
step    7/74: train loss 4.110761 (84.138401 ms, 48681 tok/s)
step    8/74: train loss 3.623435 (84.145193 ms, 48677 tok/s)
step    9/74: train loss 3.965419 (84.147173 ms, 48676 tok/s)
step   10/74: train loss 3.581473 (84.145643 ms, 48677 tok/s)
step   11/74: train loss 4.028932 (84.141372 ms, 48679 tok/s)
step   12/74: train loss 3.813082 (84.135592 ms, 48683 tok/s)
step   13/74: train loss 4.029257 (84.126573 ms, 48688 tok/s)
step   14/74: train loss 3.884895 (84.133432 ms, 48684 tok/s)
step   15/74: train loss 3.711772 (84.127652 ms, 48687 tok/s)
step   16/74: train loss 3.552814 (84.134472 ms, 48683 tok/s)
step   17/74: train loss 3.987905 (84.134122 ms, 48684 tok/s)
step   18/74: train loss 3.808810 (84.136992 ms, 48682 tok/s)
step   19/74: train loss 3.534418 (84.131812 ms, 48685 tok/s)
step   20/74: train loss 3.677848 (84.124813 ms, 48689 tok/s)
step   21/74: train loss 3.609014 (84.145122 ms, 48677 tok/s)
step   22/74: train loss 3.611778 (84.142443 ms, 48679 tok/s)
step   23/74: train loss 3.147062 (84.111751 ms, 48697 tok/s)
step   24/74: train loss 3.344272 (84.130452 ms, 48686 tok/s)
step   25/74: train loss 3.707608 (84.132553 ms, 48685 tok/s)
step   26/74: train loss 3.540020 (84.143522 ms, 48678 tok/s)
step   27/74: train loss 3.844146 (84.141203 ms, 48680 tok/s)
step   28/74: train loss 3.445554 (84.134812 ms, 48683 tok/s)
step   29/74: train loss 3.318153 (84.138673 ms, 48681 tok/s)
step   30/74: train loss 3.279777 (84.119372 ms, 48692 tok/s)
step   31/74: train loss 3.154630 (84.109101 ms, 48698 tok/s)
step   32/74: train loss 3.445170 (84.129263 ms, 48686 tok/s)
step   33/74: train loss 3.566634 (84.140752 ms, 48680 tok/s)
step   34/74: train loss 3.487544 (84.121372 ms, 48691 tok/s)
step   35/74: train loss 3.721226 (84.130442 ms, 48686 tok/s)
step   36/74: train loss 3.379980 (84.141282 ms, 48680 tok/s)
step   37/74: train loss 3.199548 (84.131342 ms, 48685 tok/s)
step   38/74: train loss 3.178781 (84.147043 ms, 48676 tok/s)
step   39/74: train loss 3.601292 (84.148982 ms, 48675 tok/s)
step   40/74: train loss 3.083403 (84.137612 ms, 48682 tok/s)
step   41/74: train loss 3.830243 (84.119862 ms, 48692 tok/s)
step   42/74: train loss 3.363395 (84.117732 ms, 48693 tok/s)
step   43/74: train loss 3.355882 (84.135421 ms, 48683 tok/s)
step   44/74: train loss 3.419439 (84.129752 ms, 48686 tok/s)
step   45/74: train loss 3.609560 (84.139343 ms, 48681 tok/s)
step   46/74: train loss 3.129467 (84.102811 ms, 48702 tok/s)
step   47/74: train loss 3.464297 (84.122633 ms, 48690 tok/s)
step   48/74: train loss 3.975225 (84.133883 ms, 48684 tok/s)
step   49/74: train loss 3.225174 (84.135173 ms, 48683 tok/s)
step   50/74: train loss 3.417544 (84.140673 ms, 48680 tok/s)
step   51/74: train loss 3.761219 (84.131582 ms, 48685 tok/s)
step   52/74: train loss 3.768870 (84.128502 ms, 48687 tok/s)
step   53/74: train loss 3.411009 (84.129702 ms, 48686 tok/s)
step   54/74: train loss 3.388687 (84.124992 ms, 48689 tok/s)
step   55/74: train loss 3.274787 (84.134803 ms, 48683 tok/s)
step   56/74: train loss 3.261300 (84.138623 ms, 48681 tok/s)
step   57/74: train loss 3.028678 (84.122912 ms, 48690 tok/s)
step   58/74: train loss 3.479578 (84.140213 ms, 48680 tok/s)
step   59/74: train loss 3.271386 (84.115832 ms, 48694 tok/s)
step   60/74: train loss 3.496455 (84.121992 ms, 48691 tok/s)
step   61/74: train loss 3.211903 (84.127023 ms, 48688 tok/s)
step   62/74: train loss 3.451186 (84.140133 ms, 48680 tok/s)
step   63/74: train loss 3.371832 (84.137313 ms, 48682 tok/s)
step   64/74: train loss 3.408088 (84.138492 ms, 48681 tok/s)
step   65/74: train loss 3.579047 (84.123562 ms, 48690 tok/s)
step   66/74: train loss 3.030213 (84.132281 ms, 48685 tok/s)
step   67/74: train loss 3.296484 (84.136422 ms, 48682 tok/s)
step   68/74: train loss 3.677027 (84.149383 ms, 48675 tok/s)
step   69/74: train loss 3.298306 (84.127733 ms, 48687 tok/s)
step   70/74: train loss 3.647026 (84.139224 ms, 48681 tok/s)
step   71/74: train loss 3.566828 (84.141312 ms, 48680 tok/s)
step   72/74: train loss 3.731806 (84.134393 ms, 48684 tok/s)
step   73/74: train loss 3.824584 (84.143094 ms, 48678 tok/s)
step   74/74: train loss 3.381237 (84.136912 ms, 48682 tok/s)
val loss 3.491698
generating:
---

---
total average iteration time: 84.156437 ms
